pca_dim,nlist,nprobe,k,label,precision_at_k_macro,recall_at_k_macro
64,64,16,20,2,1.0,0.0066688896298766264
64,64,16,20,3,1.0,0.006715916722632638
64,64,16,20,4,1.0,0.006736274840013476
64,64,16,20,6,1.0,0.006609385327164575
64,64,32,20,0,1.0,0.006605019815059446
64,64,32,20,2,1.0,0.0066688896298766264
64,64,32,20,3,1.0,0.006715916722632638
64,64,32,20,4,1.0,0.006736274840013476
64,64,32,20,6,1.0,0.006609385327164575
64,128,1,20,0,1.0,0.006605019815059446
64,128,1,20,2,1.0,0.0066688896298766264
64,128,1,20,3,1.0,0.006715916722632638
64,128,1,20,4,1.0,0.006736274840013476
64,128,1,20,6,1.0,0.006609385327164575
64,128,4,20,0,1.0,0.006605019815059446
64,128,4,20,2,1.0,0.0066688896298766264
64,128,4,20,3,1.0,0.006715916722632638
64,128,4,20,4,1.0,0.006736274840013476
64,128,4,20,6,1.0,0.006609385327164575
64,128,8,20,0,1.0,0.006605019815059446
64,128,8,20,2,1.0,0.0066688896298766264
64,128,8,20,3,1.0,0.006715916722632638
64,128,8,20,4,1.0,0.006736274840013476
64,128,8,20,6,1.0,0.006609385327164575
64,128,16,20,0,1.0,0.006605019815059446
64,128,16,20,2,1.0,0.0066688896298766264
64,128,16,20,3,1.0,0.006715916722632638
64,128,16,20,4,1.0,0.006736274840013476
64,128,16,20,6,1.0,0.006609385327164575
64,128,32,20,0,1.0,0.006605019815059446
64,128,32,20,2,1.0,0.0066688896298766264
64,128,32,20,3,1.0,0.006715916722632638
64,128,32,20,4,1.0,0.006736274840013476
64,128,32,20,6,1.0,0.006609385327164575
64,256,1,20,0,0.9982441471571907,0.0065934223722403625
64,256,1,20,2,1.0,0.0066688896298766264
64,256,1,20,3,1.0,0.006715916722632638
64,256,1,20,4,1.0,0.006736274840013476
64,256,1,20,6,0.9977586206896553,0.006594571187638172
64,256,4,20,0,1.0,0.006605019815059446
64,256,4,20,2,1.0,0.0066688896298766264
64,256,4,20,3,1.0,0.006715916722632638
64,256,4,20,4,1.0,0.006736274840013476
64,256,4,20,6,1.0,0.006609385327164575
64,256,8,20,0,1.0,0.006605019815059446
64,256,8,20,2,1.0,0.0066688896298766264
64,256,8,20,3,1.0,0.006715916722632638
64,256,8,20,4,1.0,0.006736274840013476
64,256,8,20,6,1.0,0.006609385327164575
64,256,16,20,0,1.0,0.006605019815059446
64,256,16,20,2,1.0,0.0066688896298766264
64,256,16,20,3,1.0,0.006715916722632638
64,256,16,20,4,1.0,0.006736274840013476
64,256,16,20,6,1.0,0.006609385327164575
64,256,32,20,0,1.0,0.006605019815059446
64,256,32,20,2,1.0,0.0066688896298766264
64,256,32,20,3,1.0,0.006715916722632638
64,256,32,20,4,1.0,0.006736274840013476
64,256,32,20,6,1.0,0.006609385327164575
128,32,1,20,0,1.0,0.006605019815059446
128,32,1,20,2,1.0,0.0066688896298766264
128,32,1,20,3,1.0,0.006715916722632638
128,32,1,20,4,1.0,0.006736274840013476
128,32,1,20,6,1.0,0.006609385327164575
128,32,4,20,0,1.0,0.006605019815059446
128,32,4,20,2,1.0,0.0066688896298766264
128,32,4,20,3,1.0,0.006715916722632638
128,32,4,20,4,1.0,0.006736274840013476
128,32,4,20,6,1.0,0.006609385327164575
128,32,8,20,0,1.0,0.006605019815059446
128,32,8,20,2,1.0,0.0066688896298766264
128,32,8,20,3,1.0,0.006715916722632638
128,32,8,20,4,1.0,0.006736274840013476
128,32,8,20,6,1.0,0.006609385327164575
128,32,16,20,0,1.0,0.006605019815059446
128,32,16,20,2,1.0,0.0066688896298766264
128,32,16,20,3,1.0,0.006715916722632638
128,32,16,20,4,1.0,0.006736274840013476
128,32,16,20,6,1.0,0.006609385327164575
128,32,32,20,0,1.0,0.006605019815059446
128,32,32,20,2,1.0,0.0066688896298766264
128,32,32,20,3,1.0,0.006715916722632638
128,32,32,20,4,1.0,0.006736274840013476
128,32,32,20,6,1.0,0.006609385327164575
128,64,1,20,0,1.0,0.006605019815059446
128,64,1,20,2,1.0,0.0066688896298766264
128,64,1,20,3,1.0,0.006715916722632638
128,64,1,20,4,1.0,0.006736274840013476
128,64,1,20,6,1.0,0.006609385327164575
128,64,4,20,0,1.0,0.006605019815059446
128,64,4,20,2,1.0,0.0066688896298766264
128,64,4,20,3,1.0,0.006715916722632638
128,64,4,20,4,1.0,0.006736274840013476
128,64,4,20,6,1.0,0.006609385327164575
128,64,8,20,0,1.0,0.006605019815059446
128,64,8,20,2,1.0,0.0066688896298766264
128,64,8,20,3,1.0,0.006715916722632638
128,64,8,20,4,1.0,0.006736274840013476
128,64,8,20,6,1.0,0.006609385327164575
128,64,16,20,0,1.0,0.006605019815059446
128,64,16,20,2,1.0,0.0066688896298766264
128,64,16,20,3,1.0,0.006715916722632638
128,64,16,20,4,1.0,0.006736274840013476
128,64,16,20,6,1.0,0.006609385327164575
128,64,32,20,0,1.0,0.006605019815059446
128,64,32,20,2,1.0,0.0066688896298766264
128,64,32,20,3,1.0,0.006715916722632638
128,64,32,20,4,1.0,0.006736274840013476
128,64,32,20,6,1.0,0.006609385327164575
128,128,1,20,0,1.0,0.006605019815059446
128,128,1,20,2,1.0,0.0066688896298766264
128,128,1,20,3,1.0,0.006715916722632638
128,128,1,20,4,0.9989326765188834,0.006729085055701474
128,128,1,20,6,1.0,0.006609385327164575
128,128,4,20,0,1.0,0.006605019815059446
128,128,4,20,2,1.0,0.0066688896298766264
128,128,4,20,3,1.0,0.006715916722632638
128,128,4,20,4,1.0,0.006736274840013476
128,128,4,20,6,1.0,0.006609385327164575
128,128,8,20,0,1.0,0.006605019815059446
128,128,8,20,2,1.0,0.0066688896298766264
128,128,8,20,3,1.0,0.006715916722632638
128,128,8,20,4,1.0,0.006736274840013476
128,128,8,20,6,1.0,0.006609385327164575
128,128,16,20,0,1.0,0.006605019815059446
128,128,16,20,2,1.0,0.0066688896298766264
128,128,16,20,3,1.0,0.006715916722632638
128,128,16,20,4,1.0,0.006736274840013476
128,128,16,20,6,1.0,0.006609385327164575
128,128,32,20,0,1.0,0.006605019815059446
128,128,32,20,2,1.0,0.0066688896298766264
128,128,32,20,3,1.0,0.006715916722632638
128,128,32,20,4,1.0,0.006736274840013476
128,128,32,20,6,1.0,0.006609385327164575
128,256,1,20,0,0.9985785953177259,0.006595631408967807
128,256,1,20,2,1.0,0.0066688896298766264
128,256,1,20,3,1.0,0.006715916722632638
128,256,1,20,4,0.9954844006568144,0.006705856521770392
128,256,1,20,6,0.9985344827586209,0.006599699159012696
128,256,4,20,0,1.0,0.006605019815059446
128,256,4,20,2,1.0,0.0066688896298766264
128,256,4,20,3,1.0,0.006715916722632638
128,256,4,20,4,1.0,0.006736274840013476
128,256,4,20,6,1.0,0.006609385327164575
128,256,8,20,0,1.0,0.006605019815059446
128,256,8,20,2,1.0,0.0066688896298766264
128,256,8,20,3,1.0,0.006715916722632638
128,256,8,20,4,1.0,0.006736274840013476
128,256,8,20,6,1.0,0.006609385327164575
128,256,16,20,0,1.0,0.006605019815059446
